"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"January 22, 2005","University of Northern Colorado","Greeley","Colorado","PORT","EDU","15,790","A hard drive was lost or stolen. It contained information on current and former University 
            employees and their beneficiaries and dates back to April of 1997.  Names, dates of birth, SSNs, addresses, 
            bank account numbers and routing numbers may have been accessed.","Dataloss DB","","2005","40.423314","-104.709132"
"February 12, 2005","Science Applications International Corp. (SAIC)","San Diego","California","STAT","BSO","45,000","On January 25 thieves broke 
            into a SAIC facility and stole computers containing personal information of past and current employees. Stolen information 
            included names, Social Security numbers, addresses, phone numbers and records of financial 
            transactions.","Dataloss DB","","2005","32.715329","-117.157255"
"May 5, 2005","Arbella Mutual Insurance Company","Quincy","Massachusetts","DISC","BSF","0","A customer discovered that he could view the Registry of Motor Vehicles database by visiting a website printed on the bottom of his insurance paperwork.  He was able to look up people by name and then obtain their address, date of birth, license number, driving history and even their Social Security number most times.  The company corrected the problem quickly.  The company believes the error was temporary and that few outsiders were able to access the information.","Dataloss DB","","2005","42.252877","-71.002271"
"April 11, 2005","Tufts University","Boston","Massachusetts","HACK","EDU","106,000","The University's donor database was breached sometime in late 2004.  The database was managed by a software company for nonprofit organizations named RuffaloCODY.  Letters were sent to the alumni who may have had their personal information stolen.","Dataloss DB","","2005","42.358431","-71.059773"
"May 7, 2005","Department of Justice","Washington","District Of Columbia","PORT","GOV","80,000","A laptop containing password protected names and travel account credit card information was stolen sometime between May 7 and May 9.","Dataloss DB","","2005","38.895112","-77.036366"
"June 18, 2005","University of Hawai'i ","Honolulu","Hawaii","INSD","EDU","150,000","A former librarian with access to the personal information of students, faculty, staff and patrons was convicted of Social Security fraud.  The former librarian used Social Security information to obtain fraudulent loans.  The University used Social Security numbers to track who checked out library materials. At the time of the press release it was unclear whether any information had been stolen from the University.","Dataloss DB","","2005","21.306944","-157.858333"
"June 21, 2005","CVS","Woonsocket","Rhode Island","DISC","BSR","0","CASPIAN, a consumer privacy group, notified CVS of a security hole that allowed people to access information about purchases made by customers who used a CVS Corp. loyalty card.  Anyone with someone's card number, zip code and the first three letters of the customer's last name could have a list of recent purchases sent to an email account. The company removed Internet access to the information.  Fifty million loyalty cards have been issued.","Dataloss DB","","2005","42.002876","-71.514784"
"June 22, 2005","Eastman Kodak ","Rochester","New York","PORT","BSO","5,800","A password-protected laptop containing former employee names, Social Security numbers, birth dates, and benefits information was stolen from a consultant's car trunk. The consulting company has been identified as Hewitt Associates. Kodak sent letters and offered one-year of credit monitoring services and identity theft insurance covering up to $50,000 in fraud.","Dataloss DB","","2005","43.154785","-77.615557"
"June 29, 2005","Medica Health Plans","Minnetonka","Minnesota","INSD","MED","0","It was discovered that two employees had engaged in unauthorized activities for an extended period of time.  The computer administrators were fired for sabotaging the company's computers and downloading data.  Sensitive information for 1.2 million Medica members may have been accessed.  The former employees prolonged their activities and avoided heavier punishment by hiding and destroying evidence of their activities. ","Dataloss DB","","2005","44.913297","-93.503288"
"May 2, 2005","Time Warner, Iron Mountain Inc.","New York","New York","PORT","BSO","600,000","Backup tapes containing the personal information of current and former employees from as far back as 1986 was lost or stolen during shipping. An 800 number was set up to answer questions and provide free credit monitoring for one year.UPDATE (5/3/2005): A contractor named Iron Mountain Inc. lost the tapes during shipping. ","Dataloss DB","","2005","40.714353","-74.005973"
